Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,columnType
institutionSpecificRestriction,Indicates whether there are institution-specific restrictions associated with the access requirement.,,,FALSE,,AccessRequirement,,,list like,string
publicationMoratorium,Indicates whether there is a publication moratorium associated with the access requirement.,,,FALSE,,AccessRequirement,,,list like,string
researchSpecificRestrictions,Indicates whether there are research-specific restrictions associated with the access requirement.,,,FALSE,,AccessRequirement,,,list like,string
timeLimitOnUse,Indicates whether there is a time limit on the use of the data associated with the access requirement.,,,FALSE,,AccessRequirement,,,list like,string
userSpecificRestriction,Indicates whether there are user-specific restrictions associated with the access requirement.,,,FALSE,,AccessRequirement,,,list like,string
sourceGeography,The geographical source of the data associated with the access requirement. Equivalent to DUOPlus1.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,FALSE,,AccessRequirement,,,list like,string
studyPopulation,The population studied in the research associated with the access requirement. Equivalent to DUOPlus2,,,FALSE,,AccessRequirement,,,list like,string
deidentificationType,The type of de-identification applied to the data associated with the access requirement. Equivalent to DUOPlus3.,"HIPPA_LDS, SafeHarbor, ExpertDetermination, Pseudonymized, Anonymized, Other",,FALSE,,AccessRequirement,,,list like,string
dataPermission,The permissions associated with the data under the access requirement. Equivalent to DUOPlus4.,"Agreement, Attestation, Award, Other",,FALSE,,AccessRequirement,,,list like,string
dataTier,The tier of data access associated with the access requirement. Equivalent to DUOPlus5.,"Anonymous, Open, Controlled, Private",,FALSE,,AccessRequirement,,,list like,string
license,The license under which the data associated with the access requirement is shared. Equivalent to DUOPlus6.,"CC0, CC_BY, CC_BY_NC, CC_BY_ND, CC_BY_SA, CC_BY_NC_ND, CC_BY_NC_SA, Apache_2.0, MIT, GPL_3.0, BSD_3_Clause",,FALSE,,AccessRequirement,,,list like,string
attribution,The attribution statement for the data associated with the access requirement. Equivalent to DUOPlus7.,,,FALSE,,AccessRequirement,,,list like,string
grantAnnotationKey,The annotation key applied to a Synapse entity that contains a grant identifier.,,,FALSE,,AccessRequirement,,,list like,string
grantAnnotationValue,The value that will be assigned to the key provided under grantAnnotationKey. Value should be applied to Synapse entities released with this AR.,,,FALSE,,AccessRequirement,,,list like,string
studyAnnotationKey,The annotation key applied to a Synapse entity that contains a study identifier.,,,FALSE,,AccessRequirement,,,list like,string
studyAnnotationValue,The value that will be assigned to the key provided under studyAnnotationKey. Value should be applied to Synapse entities released with this AR.,,,FALSE,,AccessRequirement,,,list like,string
dataTypeKey,The annotation key applied to a Synapse entity that contains a data type identifier.,,,FALSE,,AccessRequirement,,,list like,string
dataTypeValue,The value that will be assigned to the key provided under dataTypeKey. Value should be applied to Synapse entities released with this AR.,,,FALSE,,AccessRequirement,,,list like,string
speciesTypeKey,The annotation key applied to a Synapse entity that contains a species identifier.,,,FALSE,,AccessRequirement,,,list like,string
speciesTypeValue,The value that will be assigned to the key provided under speciesTypeKey. Value should be applied to Synapse entities released with this AR.,,,FALSE,,AccessRequirement,,,list like,string
activatedByAttribute,The name of a Synapse annotation key that will be applied to entities released under this AR. Setting this attribute to activationValue designates that the AR should be active.,,,FALSE,,AccessRequirement,,,list like,string
activationValue,The value of Synapse annotation recorded under activatedByAttribute that will be applied to entities released under this AR to indicate the AR should be active,,,FALSE,,AccessRequirement,,,list like,string
entityIdList,"Synapse ID(s) for Synapse container(s) (e.g. Project, Dataset, Folder, Table, etc.) with which the Access Requirement is expected to be associated. Provide multiple values as a comma-separated list.",,,FALSE,,AccessRequirement,,,list like,string
schemaUrl,URL associated with the access requirement schema.,,,TRUE,,AccessRequirement,,,list like,string
US,This data use modifier indicates that use is limited to use by approved users.,,userSpecificRestriction,FALSE,DUO:0000026,dataUseModifiers,,,list like,string
COL,This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s).,,collaborationRequired,FALSE,DUO:0000020,dataUseModifiers,,,list like,string
RS,This data use modifier indicates that use is limited to studies of a certain research type.,,researchSpecificRestrictions,FALSE,DUO:0000012,dataUseModifiers,,,list like,string
TS,This data use modifier indicates that use is approved for a specific number of months.,,timeLimitOnUse,FALSE,DUO:0000025,dataUseModifiers,,,list like,string
MOR,This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.,,publicationMoratorium,FALSE,DUO:0000024,dataUseModifiers,,,list like,string
IS,This data use modifier indicates that use is limited to use within an approved institution.,,institutionSpecificRestriction,FALSE,DUO:0000028,dataUseModifiers,,,list like,string
GS,This data use modifier indicates that use is limited to within a specific geographic region.,,geographicalRestriction,FALSE,DUO:0000022,dataUseModifiers,,,list like,string
DS,This data use permission indicates that use is allowed provided it is related to the specified disease.,,diseaseSpecificResearch,FALSE,DUO:0000007,dataUseModifiers,,,list like,string
DUOPlus1,Source geography is relevant to governance decisions.,,sourceGeography,FALSE,,dataUseModifiers,,,list like,string
DUOPlus2,Study population is relevant to governance decisions.,,studyPopulation,FALSE,,dataUseModifiers,,,list like,string
DUOPlus3,Data deidentification is relevant to governance decisions.,,deidentificationType,FALSE,,dataUseModifiers,,,list like,string
DUOPlus4,A data permission designation is associated with the Study.,,dataPermission,FALSE,,dataUseModifiers,,,list like,string
DUOPlus5,A data tier designation is associated with the Study.,,dataTier,FALSE,,dataUseModifiers,,,list like,string
DUOPlus6,A license is associated with the Study.,,license,FALSE,,dataUseModifiers,,,list like,string
DUOPlus7,Attribution conditions are associated with this Study.,,attribution,FALSE,,dataUseModifiers,,,list like,string
Study,Studies associated with a grant,,"Component, Study_id, grantNumber, studyName, studyDescription, studyInvestigator, studyAttribution, studyParticipantNumber, studyDeidentificationType, studyDeidentificationMethodDescription, studyDeidentificationMethodSoftware, studyDbgapAccessionId, studyLicense, studyDataUseModifiers, studyIndexDate, studySourceGeography, studyDataPermission, studyDataTier, studySampleNumber, studyCollaborationRequired, studyDiseaseSpecificResearch, studyGeographicalRestriction, studyInstitutionSpecificRestriction, studyPublicationMoratorium, studyResearchSpecificRestrictions, studyTimeLimitOnUse, studyUserSpecificRestriction, studyPopulation ",FALSE,,,,,,
grantNumber,The identifier associated with the award funding this study.,,,FALSE,,Study,,,list like,string
studyName,Name of the study,,,TRUE,CDE:11459810,Study,,,str,string
studyDescription,"Description of the study, including the types of experimental assays, model systems, types of analysis, description of cohort, associated vulnerable populations, special categories of data, rare diseases, etc. Maps to DUOplus2.",,,TRUE,CDE:03444002,Study,,,str,string
studyInvestigator,Investigator(s) associated with the project. Multiple names should be provided as a comma-separated list.,,,TRUE,,Study,,,list like,string
studyAttribution,"The funder-, contributor-, patient-, etc., derived content that includes terms, conditions, or statements associated with accessing and reusing the resource(s). Maps to DUOplus7.",,,FALSE,,Study,,,str,string
Study_id,A unique primary key that enables record updates using schematic.,,,TRUE,CDE:12960571,Study,,,unique,string
studyParticipantNumber,The number of participant instances associated with systematic investigation into a subject.,,,TRUE,CDE:11555662,Study,,CDS/collection,int,number
studyDeidentificationType,General description of the de-identification method. Maps to DUOplus3.,"HIPPA_LDS, SafeHarbor, ExpertDetermination, Pseudonymized, Anonymized, Other",,TRUE,CDE:14576319,Study,,CDS/collection,str,string
studyDeidentificationMethodDescription,Description of the process of removing potentially identifying data or data elements to render data into a form that does not identify individuals and where identification is not likely to take place.,,,FALSE,,Study,,CDS/collection,str,string
studyDeidentificationMethodSoftware,Software that was used to de-identify the data (if used),,,FALSE,,Study,,CDS/collection,str,string
studyDbgapAccessionId,A stable unique alphanumeric identifier assigned to a study and any objects by the database of Genotypes and Phenotypes (dbGaP). Required for controlled access data being submitted to CDS/CRDC.,,,FALSE,CDE:11524544,Study,,CDS/collection,str,string
studyLicense,Official or legal permission to do or own a specified thing. Studies with data that will be submitted to CDS are required to provide a license. Maps to DUOplus6.,"CC0, CC_BY, CC_BY_NC, CC_BY_ND, CC_BY_SA, CC_BY_NC_ND, CC_BY_NC_SA, Apache_2.0, MIT, GPL_3.0, BSD_3_Clause",,FALSE,CDE:14902606,Study,,CDS/collection,str,string
studyDataUseModifiers,"DUO code - A data item that is used to indicate consent permissions for datasets and/or materials and relates to the purposes for which datasets and/or material might be removed, stored, or used.",,,FALSE,CDE:00002002,Study,,Data Use Ontology,list like,string
studyIndexDate,"The reference event associated with timepoints in this study. One of Diagnosis Date, Enrollment Date, Collection Date, or Birth Date.","Diagnosis Date , Enrollment Date, Collection Date, Birth Date",,FALSE,,Study,,CDS v5.0.4/Study,str,string
studySourceGeography,The list of country(ies) where the data associated with this study was generated. Maps to DUOplus1.,,,FALSE,,Study,,DUOplus,list like,string
studyDataPermission,The list of entities or objects that define or enforce data sharing permissions. Maps to DUOplus4.,"Agreement, Attestation, Award, Other",,FALSE,,Study,,DUOplus,list like,string
studyDataTier,The access tier(s) associated with the data in this study. Maps to DUOplus5.,"Anonymous, Open, Controlled, Private",,FALSE,CDE:11555664,Study,,DUOplus,list like,string
studySampleNumber,The number of specimens associated with systematic investigation into a subject.,,,TRUE,CDE:11555663,Study,,GC v6.0.2/study.number_of_samples,int,number
studyCollaborationRequired,Boolean. Collaboration is required to reuse data from this study.,"True, False",,False,,Study,,Data Use Ontology,bool,boolean
studyDiseaseSpecificResearch,The list of diseases where data shared through this study is allowed to be reused.,,,False,,Study,,Data Use Ontology,list like,string
studyGeographicalRestriction,The list of countries where this data is not allowed to be accessed.,,,False,,Study,,Data Use Ontology,list like,string
studyInstitutionSpecificRestriction,The list of institutions where access to this data is restricted.,,,False,,Study,,Data Use Ontology,list like,string
studyPublicationMoratorium,The date after which publications using data from this study are allowed to be published.,,,False,,Study,,Data Use Ontology,date,string
studyResearchSpecificRestrictions,The list of research types in which reuse of this data is allowed.,,,False,,Study,,Data Use Ontology,list like,string
studyTimeLimitOnUse,The amount of time a requestor is allowed access to data associated with this study.,,,False,,Study,,Data Use Ontology,int,number
studyUserSpecificRestriction,User-specific restrictions that must be satisfied before the requestor may access data from this study.,,,False,,Study,,Data Use Ontology,str,string
studyPopulation,The population(s) associated with data shared through this study.,,,False,,Study,,Data Use Ontology,str,string
