Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,columnType
institutionSpecificRestriction,Institutions with specific restrictions associated with the access requirement. Provide multiple entries as a comma-separated list.,,,FALSE,,AccessRequirement,,,str,string
publicationMoratorium,End date of the publication moratorium associated with the access requirement.,,,FALSE,,AccessRequirement,,,date,
researchSpecificRestrictions,Research-specific restrictions associated with the access requirement.,,,FALSE,,AccessRequirement,,,str,string
timeLimitOnUse,Time limit on the use of the data associated with the access requirement.,,,FALSE,,AccessRequirement,,,number,number
userSpecificRestriction,The user-specific restrictions associated with the access requirement.,,,FALSE,,AccessRequirement,,,str,string
sourceGeography,The geographical source of the data associated with the access requirement. Equivalent to DUOPlus1.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,FALSE,,AccessRequirement,,,list like,
populationType,The population studied in the research associated with the access requirement. Equivalent to DUOPlus2,,,FALSE,,AccessRequirement,,,str,string
deidentificationType,The type of de-identification applied to the data associated with the access requirement. Equivalent to DUOPlus3.,"HIPPA_LDS, SafeHarbor, ExpertDetermination, Pseudonymized, Anonymized, Other",,FALSE,,AccessRequirement,,,list like,
dataPermission,The permissions associated with the data under the access requirement. Equivalent to DUOPlus4.,"Agreement, Attestation, Award, Other",,FALSE,,AccessRequirement,,,list like,
dataTier,The tier of data access associated with the access requirement. Equivalent to DUOPlus5.,"Anonymous, Open, Controlled, Private",,FALSE,,AccessRequirement,,,list like,
license,The license under which the data associated with the access requirement is shared. Equivalent to DUOPlus6.,"CC0, CC_BY, CC_BY_NC, CC_BY_ND, CC_BY_SA, CC_BY_NC_ND, CC_BY_NC_SA, Apache_2.0, MIT, GPL_3.0, BSD_3_Clause",,FALSE,,AccessRequirement,,,list like,
attribution,The attribution statement for the data associated with the access requirement. Equivalent to DUOPlus7.,,,FALSE,,AccessRequirement,,,str,string
grantAnnotationKey,The annotation key applied to a Synapse entity that contains a grant identifier.,,,FALSE,,AccessRequirement,,,str,string
grantAnnotationValue,The value that will be assigned to the key provided under grantAnnotationKey. Value should be applied to Synapse entities released with this AR.,,,FALSE,,AccessRequirement,,,str,string
studyAnnotationKey,The annotation key applied to a Synapse entity that contains a study identifier.,,,FALSE,,AccessRequirement,,,str,string
studyAnnotationValue,The value that will be assigned to the key provided under studyAnnotationKey. Value should be applied to Synapse entities released with this AR.,,,FALSE,,AccessRequirement,,,str,string
dataTypeKey,The annotation key applied to a Synapse entity that contains a data type identifier.,,,FALSE,,AccessRequirement,,,str,string
dataTypeValue,The value that will be assigned to the key provided under dataTypeKey. Value should be applied to Synapse entities released with this AR.,,,FALSE,,AccessRequirement,,,str,string
speciesTypeKey,The annotation key applied to a Synapse entity that contains a species identifier.,,,FALSE,,AccessRequirement,,,str,string
speciesTypeValue,The value that will be assigned to the key provided under speciesTypeKey. Value should be applied to Synapse entities released with this AR.,,,FALSE,,AccessRequirement,,,str,string
activatedByAttribute,The name of a Synapse annotation key that will be applied to entities released under this AR. Setting this attribute to activationValue designates that the AR should be active.,,,FALSE,,AccessRequirement,,,str,string
activationValue,The value of Synapse annotation recorded under activatedByAttribute that will be applied to entities released under this AR to indicate the AR should be active,,,FALSE,,AccessRequirement,,,str,string
entityIdList,"Synapse ID(s) for Synapse container(s) (e.g. Project, Dataset, Folder, Table, etc.) with which the Access Requirement is expected to be associated. Provide multiple values as a comma-separated list.",,,FALSE,,AccessRequirement,,,str,string
schemaUrl,URL associated with the access requirement schema.,,,TRUE,,AccessRequirement,,,str,string
USE,This data use modifier indicates that use is limited to use by approved users.,,userSpecificRestriction,FALSE,DUO:0000026,dataUseModifiers,,,str,string
COL,This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s).,,collaborationRequired,FALSE,DUO:0000020,dataUseModifiers,,,str,string
RST,This data use modifier indicates that use is limited to studies of a certain research type.,,researchSpecificRestrictions,FALSE,DUO:0000012,dataUseModifiers,,,str,string
TSM,This data use modifier indicates that use is approved for a specific number of months.,,timeLimitOnUse,FALSE,DUO:0000025,dataUseModifiers,,,str,string
MOR,This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.,,publicationMoratorium,FALSE,DUO:0000024,dataUseModifiers,,,str,string
IST,This data use modifier indicates that use is limited to use within an approved institution.,,institutionSpecificRestriction,FALSE,DUO:0000028,dataUseModifiers,,,str,string
GSR,This data use modifier indicates that use is limited to within a specific geographic region.,,geographicalRestriction,FALSE,DUO:0000022,dataUseModifiers,,,str,string
DSR,This data use permission indicates that use is allowed provided it is related to the specified disease.,,diseaseSpecificResearch,FALSE,DUO:0000007,dataUseModifiers,,,str,string
DUOPlus1,Source geography is relevant to governance decisions.,,sourceGeography,FALSE,,dataUseModifiers,,,str,string
DUOPlus2,Study population is relevant to governance decisions.,,populationType,FALSE,,dataUseModifiers,,,str,string
DUOPlus3,Data deidentification is relevant to governance decisions.,,deidentificationType,FALSE,,dataUseModifiers,,,str,string
DUOPlus4,A data permission designation is associated with the Study.,,dataPermission,FALSE,,dataUseModifiers,,,str,string
DUOPlus5,A data tier designation is associated with the Study.,,dataTier,FALSE,,dataUseModifiers,,,str,string
DUOPlus6,A license is associated with the Study.,,license,FALSE,,dataUseModifiers,,,str,string
DUOPlus7,Attribution conditions are associated with this Study.,,attribution,FALSE,,dataUseModifiers,,,str,string
